source	site	% U	V
0	06880danwoog.com*	3.34311109175431E-06	36280
0	0800-horoscope.com*	1.07502623159843E-05	120690
0	10000boatnames.com*	5.87136187726251E-07	6858
0	100bestvacations.com*	1.51684522618948E-06	12891
0	100stuartstreet.com*	1.12822763745021E-06	9758
0	1013.com*	8.59694725420906E-06	77314
0	1015store.com*	2.28233241765772E-05	285488
0	101kgb.com*	9.01529658805837E-06	76934
0	101science.com*	0.000000708	6502
0	101x.com*	4.06482947084152E-06	45602
0	1025thebull.com*	3.79158683989654E-06	32003
0	102jamz.com*	0.000002886	26372
0	1035kissfm.com*	1.83859269971E-05	156960
0	1037theq.com*	1.5198710232582E-06	12942
0	103jamz.com*	2.21343633396687E-06	19266
0	1045snx.com*	0.000004814	42133
0	1047kissfm.com*	1.58149203834469E-05	154465
0	1057now.com*	1.82652897835341E-06	15443
0	1059thex.com*	1.06942192920159E-05	97652
0	1061kissfm.com*	1.62378741910964E-05	138048
0	1065.com*	5.13346206167735E-06	44777
0	1065thebeat.com*	1.22584248201505E-06	10910
0	1067litefm.com*	1.27392634412887E-05	113532
0	1073theeagle.com*	0.000000832	5954
0	1073thewave.net*	1.46816936030135E-06	13475
0	1075theriver.com*	5.2936977499253E-06	45748
0	1079thelink.com*	3.08986503274175E-06	26033
0	108.fm*	3.18405941105499E-06	27591
0	1080thefan.com*	1.84073706893697E-06	17406
0	10news.com*	3.71659969514997E-06	29305
0	1190kex.com*	3.94537626482417E-06	35016
0	1199seiu.org*	2.2096211985324E-06	21496
0	11games.net*	7.06326280955017E-07	6455
0	11points.com*	2.31539253954336E-05	194728
0	123newyear.com*	0.000001413	12613
0	123ponds.com*	0.000006286	65153
0	12newsnow.com*	2.46082813343342E-05	281093
0	12ozprophet.com*	1.02273256486727E-05	116461
0	12thmanrising.com*	4.19059738378489E-06	36991
0	136888.com*	2.41748030151413E-06	20699
0	1389blog.com*	1.25636356549085E-06	11179
0	13abc.com*	4.83967032194393E-05	576372
0	148apps.com*	1.00736677801394E-05	91110
0	14march.org*	2.64270484854244E-06	45135
0	1500espn.com*	3.28097700673008E-05	434520
0	17andbaking.com*	1.15032911169131E-06	9749
0	17ddblog.com*	1.22939450466094E-06	12478
0	1920s-fashion-and-music.com*	6.34891158854333E-07	5774
0	1award.co.uk*	1.52934308364724E-06	17867
0	1stoptutorials.com*	5.253046824089E-07	5597
0	1up.com*	6.8543512554141E-05	672202
0	20jeans.com*	1.42037492225498E-05	178821
0	20sb.net*	5.26094020774653E-07	5245
0	247sports.com*	0.0004873016	6517589
0	247wallst.com*	0.0001929331	1783227
0	24happliancerepair.com*	1.8690216937098E-05	176262
0	24helectrician.com*	6.6299423580304E-05	615041
0	24hrdimes.com*	6.29497346688351E-07	5528
0	25stanley.com*	9.75622220071225E-07	11467
0	2backpackers.com*	7.49213665494286E-07	6318
0	2coolfishing.com*	4.99084177462514E-05	664774
0	2dopeboyz.com*	0.000082104	1011997
0	2millionblog.com*	6.96459551383099E-07	6092
0	2wired2tired.com*	1.80653240642099E-06	15703
0	350bayarea.org*	5.38197209049539E-07	5486
0	365nashville.com*	6.58702866221227E-07	5465
0	366daysofpinterest.com*	1.39081420045752E-06	11470
0	366weirdmovies.com*	1.86073364086939E-06	17747
0	3arabtv.com*	1.93122155693117E-05	453729
0	3boysandadog.com*	6.20288399087894E-07	5306
0	3dworldmag.com*	1.05271426712647E-06	10619
0	3mcollision.com*	6.24577137541821E-06	75360
0	3point5.com*	3.08687870259132E-05	455931
0	3smartcubes.com*	7.70394244975336E-07	8507
0	3wk.com*	9.57467437658896E-07	20703
0	401kwire.com*	1.72338876522829E-06	21410
0	4029tv.com*	1.85881291751272E-05	161424
0	4042.com*	6.61794441487095E-06	93319
0	40plusstyle.com*	4.29913140907599E-06	37560
0	411.com*	0.0003225334	3325896
0	411plumb.com*	1.26767741539999E-06	10293
0	4chan.org*	0.0013562475	21140293
0	4pics1word-answers.com*	1.69386751034911E-05	159080
0	4playernetwork.com*	3.18405941105499E-06	54730
0	4shared.com*	0.0009065137	8172672
0	4teachers.org*	2.61071033345057E-05	325904
0	4tests.com*	0.000021693	285350
0	4thletter.net*	1.81626757959861E-06	18409
0	4-traders.com*	7.454564148733E-05	732431
0	4u2ges.com*	8.57353021602504E-07	8847
0	4x4wire.com*	5.50260930406137E-06	54334
0	501c3lookup.org*	7.28177798046957E-06	62432
0	502streetscene.net*	3.28641028581435E-06	60094
0	504main.com*	7.54475921265976E-07	6394
0	50statesclassifieds.com*	8.05256689462779E-07	7699
0	5dollardinners.com*	0.000011202	98859
0	5gig.com*	1.21585735168827E-05	107699
0	5newsonline.com*	4.48011354070382E-05	476109
0	5ptsalt.com*	1.0285078905767E-06	8778
0	5secondfilms.com*	1.08593225668526E-05	118723
